Zone,Month,Day,Year,Hour,Total Demand
2,6,2,2022,15,0
2,6,2,2022,16,0
2,6,2,2022,17,0
2,6,2,2022,18,0
2,6,2,2022,19,0
2,6,2,2022,20,0
2,6,2,2022,21,0
2,6,2,2022,22,0
2,6,2,2022,23,0
2,6,2,2022,24,0
2,6,3,2022,0,0
2,6,3,2022,1,0
2,6,3,2022,2,0
2,6,3,2022,3,0
2,6,3,2022,4,0
2,6,3,2022,5,0
2,6,3,2022,6,0
2,6,3,2022,7,0
2,6,3,2022,8,0
2,6,3,2022,9,0
2,6,3,2022,10,0
2,6,3,2022,11,0
2,6,3,2022,12,0
2,6,3,2022,13,0
2,6,3,2022,14,0
2,6,3,2022,15,0
2,6,3,2022,16,0
2,6,3,2022,17,0
2,6,3,2022,18,0
2,6,3,2022,19,0
2,6,3,2022,20,0
2,6,3,2022,21,0
2,6,3,2022,22,0
2,6,3,2022,23,0
2,6,3,2022,24,0
2,6,4,2022,0,0
2,6,4,2022,1,0
2,6,4,2022,2,0
2,6,4,2022,3,0
2,6,4,2022,4,0
2,6,4,2022,5,0
2,6,4,2022,6,0
2,6,4,2022,7,0
2,6,4,2022,8,0
2,6,4,2022,9,0
2,6,4,2022,10,0
2,6,4,2022,11,0
2,6,4,2022,12,0
2,6,4,2022,13,0
2,6,4,2022,14,0
2,6,4,2022,15,0
2,6,4,2022,16,0
2,6,4,2022,17,0
2,6,4,2022,18,0
2,6,4,2022,19,0
2,6,4,2022,20,0
2,6,4,2022,21,0
2,6,4,2022,22,0
2,6,4,2022,23,0
2,6,4,2022,24,0
2,6,5,2022,0,0
2,6,5,2022,1,0
2,6,5,2022,2,0
2,6,5,2022,3,0
2,6,5,2022,4,0
2,6,5,2022,5,0
2,6,5,2022,6,0
2,6,5,2022,7,0
2,6,5,2022,8,0
2,6,5,2022,9,0
2,6,5,2022,10,0
2,6,5,2022,11,0
2,6,5,2022,12,0
2,6,5,2022,13,0
2,6,5,2022,14,0
2,6,5,2022,15,0
2,6,5,2022,16,0
2,6,5,2022,17,0
2,6,5,2022,18,0
2,6,5,2022,19,0
2,6,5,2022,20,0
2,6,5,2022,21,0
2,6,5,2022,22,0
2,6,5,2022,23,0
2,6,5,2022,24,0
2,6,6,2022,0,0
2,6,6,2022,1,0
2,6,6,2022,2,0
2,6,6,2022,3,0
2,6,6,2022,4,0
2,6,6,2022,5,0
2,6,6,2022,6,0
2,6,6,2022,7,0
2,6,6,2022,8,0
2,6,6,2022,9,0
2,6,6,2022,10,0
2,6,6,2022,11,0
2,6,6,2022,12,0
2,6,6,2022,13,0
2,6,6,2022,14,0
2,6,6,2022,15,0
2,6,6,2022,16,0
2,6,6,2022,17,0
2,6,6,2022,18,0
2,6,6,2022,19,0
2,6,6,2022,20,0
2,6,6,2022,21,0
2,6,6,2022,22,0
2,6,6,2022,23,0
2,6,6,2022,24,0
2,6,7,2022,0,0
2,6,7,2022,1,0
2,6,7,2022,2,0
2,6,7,2022,3,0
2,6,7,2022,4,0
2,6,7,2022,5,0
2,6,7,2022,6,0
2,6,7,2022,7,0
2,6,7,2022,8,0
2,6,7,2022,9,0
2,6,7,2022,10,0
2,6,7,2022,11,0
2,6,7,2022,12,0
2,6,7,2022,13,0
2,6,7,2022,14,0
2,6,7,2022,15,0
2,6,7,2022,16,0
2,6,7,2022,17,0
2,6,7,2022,18,0
2,6,7,2022,19,0
2,6,7,2022,20,0
2,6,7,2022,21,0
2,6,7,2022,22,0
2,6,7,2022,23,0
2,6,7,2022,24,0
2,6,8,2022,0,0
2,6,8,2022,1,0
2,6,8,2022,2,0
2,6,8,2022,3,0
2,6,8,2022,4,0
2,6,8,2022,5,0
2,6,8,2022,6,0
2,6,8,2022,7,0
2,6,8,2022,8,0
2,6,8,2022,9,0
2,6,8,2022,10,0
2,6,8,2022,11,0
2,6,8,2022,12,0
2,6,8,2022,13,0
2,6,8,2022,14,1
2,6,8,2022,15,0
2,6,8,2022,16,0
2,6,8,2022,17,0
2,6,8,2022,18,0
2,6,8,2022,19,0
2,6,8,2022,20,0
2,6,8,2022,21,0
2,6,8,2022,22,0
2,6,8,2022,23,0
2,6,8,2022,24,0
2,6,9,2022,0,0
2,6,9,2022,1,0
2,6,9,2022,2,0
2,6,9,2022,3,0
2,6,9,2022,4,0
2,6,9,2022,5,0
2,6,9,2022,6,0
2,6,9,2022,7,0
2,6,9,2022,8,0
2,6,9,2022,9,0
2,6,9,2022,10,0
2,6,9,2022,11,0
2,6,9,2022,12,0
2,6,9,2022,13,0
2,6,9,2022,14,0
2,6,9,2022,15,0
2,6,9,2022,16,0
2,6,9,2022,17,0
2,6,9,2022,18,0
2,6,9,2022,19,0
2,6,9,2022,20,0
2,6,9,2022,21,0
2,6,9,2022,22,0
2,6,9,2022,23,0
2,6,9,2022,24,0
2,6,10,2022,0,0
2,6,10,2022,1,0
2,6,10,2022,2,0
2,6,10,2022,3,0
2,6,10,2022,4,0
2,6,10,2022,5,0
2,6,10,2022,6,0
2,6,10,2022,7,0
2,6,10,2022,8,0
2,6,10,2022,9,0
2,6,10,2022,10,0
2,6,10,2022,11,0
2,6,10,2022,12,0
2,6,10,2022,13,0
2,6,10,2022,14,0
2,6,10,2022,15,0
2,6,10,2022,16,0
2,6,10,2022,17,0
2,6,10,2022,18,0
2,6,10,2022,19,0
2,6,10,2022,20,0
2,6,10,2022,21,0
2,6,10,2022,22,0
2,6,10,2022,23,0
2,6,10,2022,24,0
2,6,11,2022,0,0
2,6,11,2022,1,0
2,6,11,2022,2,0
2,6,11,2022,3,0
2,6,11,2022,4,0
2,6,11,2022,5,0
2,6,11,2022,6,0
2,6,11,2022,7,0
2,6,11,2022,8,0
2,6,11,2022,9,0
2,6,11,2022,10,0
2,6,11,2022,11,0
2,6,11,2022,12,0
2,6,11,2022,13,0
2,6,11,2022,14,0
2,6,11,2022,15,0
2,6,11,2022,16,0
2,6,11,2022,17,0
2,6,11,2022,18,0
2,6,11,2022,19,0
2,6,11,2022,20,0
2,6,11,2022,21,0
2,6,11,2022,22,0
2,6,11,2022,23,0
2,6,11,2022,24,0
2,6,12,2022,0,0
2,6,12,2022,1,0
2,6,12,2022,2,0
2,6,12,2022,3,0
2,6,12,2022,4,0
2,6,12,2022,5,0
2,6,12,2022,6,0
2,6,12,2022,7,0
2,6,12,2022,8,0
2,6,12,2022,9,0
2,6,12,2022,10,0
